Trade ID,Symbol,Pattern,Direction,Entry Time,Entry Price,Exit Time,Exit Price,Exit Reason,Lot Size,Gross PnL ($),Spread Cost ($),Comm Cost ($),Net PnL ($),R
XAUUSD_V3_0,XAUUSD,Cypher,SHORT,2010-01-12 18:15:00,1147.86,2010-01-12 18:45:00,1138.4440599999998,TP1_TP2,0.2,94.9,5.0,1.0,88.9,0.44
XAUUSD_V3_1,XAUUSD,Cypher,SHORT,2010-01-12 19:00:00,1137.5,2010-01-12 19:15:00,1137.5,TP1_BE,0.1,51.43,2.5,0.5,48.43,0.24
XAUUSD_V3_2,XAUUSD,Cypher,SHORT,2010-01-14 17:00:00,1133.26,2010-01-14 17:15:00,1133.26,TP1_BE,0.15,25.04,3.75,0.75,20.54,0.1
XAUUSD_V3_3,XAUUSD,Cypher,SHORT,2010-01-14 16:15:00,1138.02,2010-01-14 18:00:00,1138.02,TP1_BE,0.23,16.35,5.75,1.15,9.45,0.05
XAUUSD_V3_4,XAUUSD,Cypher,SHORT,2010-01-14 17:30:00,1136.59,2010-01-14 18:00:00,1136.59,TP1_BE,0.29,12.12,7.25,1.45,3.42,0.02
XAUUSD_V3_5,XAUUSD,Cypher,SHORT,2010-01-25 17:45:00,1093.79,2010-01-25 18:00:00,1093.79,TP1_BE,0.24,17.98,6.0,1.2,10.78,0.05
XAUUSD_V3_6,XAUUSD,Cypher,SHORT,2010-01-25 18:15:00,1095.7,2010-01-25 18:30:00,1095.7,TP1_BE,0.32,6.59,8.0,1.6,-3.01,-0.01
XAUUSD_V3_7,XAUUSD,Cypher,SHORT,2010-01-25 19:00:00,1097.14,2010-01-25 19:30:00,1097.14,TP1_BE,0.41,37.96,10.25,2.05,25.66,0.13
XAUUSD_V3_8,XAUUSD,Cypher,SHORT,2010-01-29 13:30:00,1084.33,2010-01-29 14:30:00,1086.659585,SL,0.88,-205.0,22.0,4.4,-240.2,-1.18
XAUUSD_V3_9,XAUUSD,Cypher,SHORT,2010-02-04 15:30:00,1090.04,2010-02-04 15:45:00,1099.14204,TP1_TP2,0.11,124.01,2.75,0.55,120.71,0.61
XAUUSD_V3_10,XAUUSD,Cypher,SHORT,2010-02-04 16:00:00,1081.82,2010-02-04 16:15:00,1099.14204,TP1_TP2,0.08,155.95,2.0,0.4,153.55,0.76
