Year,Trades,Wins,Losses,Win Rate %,Gross Alpha ($),Friction Cost ($),Net Profit ($),Profit Factor,Annual Return %,Max DD %,Ending Equity ($)
2010,51,42,9,82.4%,"$+1,438.16",-$408.90,"$+1,029.26",2.03,+10.29%,4.0%,"$11,029.26"
2011,61,46,15,75.4%,"$+1,759.82",-$578.20,"$+1,181.62",1.60,+10.71%,12.4%,"$12,210.88"
2012,55,38,17,69.1%,$+509.92,-$634.20,$-124.28,0.91,-1.02%,5.7%,"$12,086.60"
2013,74,58,16,78.4%,"$+2,983.51",-$718.30,"$+2,265.21",2.52,+18.74%,4.9%,"$14,351.80"
2014,57,43,14,75.4%,$+939.49,"-$1,066.50",$-127.01,0.95,-0.89%,6.1%,"$14,224.79"
2015,41,30,11,73.2%,"$+2,643.66",-$926.70,"$+1,716.96",2.01,+12.07%,4.4%,"$15,941.75"
2016,76,52,24,68.4%,"$+3,729.18","-$1,538.50","$+2,190.68",1.65,+13.74%,4.4%,"$18,132.43"
2017,71,43,28,60.6%,$+532.38,"-$1,951.70","$-1,419.32",0.67,-7.83%,10.6%,"$16,713.12"
2018,44,26,18,59.1%,"$-1,196.67","-$1,213.60","$-2,410.27",0.42,-14.42%,18.0%,"$14,302.84"
2019,82,58,24,70.7%,"$+5,424.87","-$1,649.30","$+3,775.57",3.68,+26.40%,2.5%,"$18,078.41"
2020,76,56,20,73.7%,"$+1,599.38","-$1,245.00",$+354.38,1.09,+1.96%,7.5%,"$18,432.79"
2021,69,60,9,87.0%,"$+5,307.53","-$1,127.40","$+4,180.13",3.71,+22.68%,4.5%,"$22,612.92"
2022,64,47,17,73.4%,"$+3,441.07","-$1,453.40","$+1,987.67",1.36,+8.79%,6.8%,"$24,600.60"
2023,31,26,5,83.9%,"$+2,031.51",-$681.10,"$+1,350.41",1.61,+5.49%,4.2%,"$25,951.01"
2024,64,55,9,85.9%,"$+6,295.25","-$1,203.90","$+5,091.35",3.70,+19.62%,4.4%,"$31,042.36"
2025,53,46,7,86.8%,"$+5,297.63",-$670.50,"$+4,627.13",3.23,+14.91%,3.7%,"$35,669.49"
2026,16,12,4,75.0%,"$+3,255.20","-$1,367.60","$+1,887.60",2.89,+5.29%,2.0%,"$37,557.09"
